nome,sexo,data,hora,especie,xestimate,yestimate,id_poligon,classe,classe_bin,peso,micropaisa,mapa_bin2_
1203,2,2014-04-05,09:54,1,320290,7460595,32,res,N_MATA,84,3,           -31.62280
1203,2,2014-04-05,10:04,1,320310,7460744,160,veg,MATA,84,3,            50.99020
1203,2,2014-04-05,10:14,1,320329,7460711,160,veg,MATA,84,3,            36.05550
1203,2,2014-04-05,10:54,1,320363,7460884,160,veg,MATA,84,3,            94.86830
1203,2,2014-04-05,13:00,1,320302,7460709,160,veg,MATA,84,3,            20.00000
1203,2,2014-04-05,13:10,1,320313,7460809,160,veg,MATA,84,3,           120.41600
1203,2,2014-04-05,13:20,1,320362,7460927,160,veg,MATA,84,3,           107.70300
1203,2,2014-04-05,13:30,1,320965,7460987,350,veg+eucalipto,MATA,84,3,            89.44270
1203,2,2014-04-05,13:40,1,320264,7460676,160,veg,MATA,84,3,            10.00000
1203,2,2014-04-05,14:00,1,320516,7460959,350,veg+eucalipto,MATA,84,3,            20.00000
1203,2,2014-04-05,14:10,1,320345,7460677,160,veg,MATA,84,3,            20.00000
1203,2,2014-04-05,14:20,1,321984,7460804,218,pasto,N_MATA,84,3,          -162.78800
1203,2,2014-04-05,14:30,1,320519,7460828,160,veg,MATA,84,3,            28.28430
1203,2,2014-04-05,14:40,1,320255,7460688,160,veg,MATA,84,3,            10.00000
1203,2,2014-04-05,15:08,1,320238,7460643,32,res,N_MATA,84,3,           -10.00000
1203,2,2014-04-20,16:10,1,320317,7460540,160,veg,MATA,84,3,            20.00000
1203,2,2014-04-20,16:20,1,320395,7460492,165,pasto,N_MATA,84,3,           -40.00000
1203,2,2014-04-29,06:58,1,320401,7460304,164,pasto,N_MATA,84,3,           -14.14210
1203,2,2014-04-29,07:43,1,320380,7460465,165,pasto,N_MATA,84,3,           -50.00000
1203,2,2014-04-29,07:58,1,320325,7460478,165,pasto,N_MATA,84,3,           -30.00000
1203,2,2014-04-29,08:13,1,320347,7460456,165,pasto,N_MATA,84,3,           -50.00000
1203,2,2014-04-29,08:28,1,320396,7460414,165,pasto,N_MATA,84,3,           -44.72140
1203,2,2014-04-29,08:43,1,320441,7460473,173,pasto,N_MATA,84,3,           -72.11100
1203,2,2014-04-29,08:58,1,320377,7460391,165,pasto,N_MATA,84,3,           -20.00000
1203,2,2014-04-29,09:13,1,320677,7460166,76,pasto,N_MATA,84,3,          -211.89600
1203,2,2014-04-29,09:28,1,320727,7460172,76,pasto,N_MATA,84,3,          -259.61500
1203,2,2014-04-29,09:58,1,320422,7460291,162,veg,MATA,84,3,            14.14210
1203,2,2014-04-29,10:13,1,320566,7460234,76,pasto,N_MATA,84,3,           -90.55390
1203,2,2014-04-29,10:43,1,320354,7460450,165,pasto,N_MATA,84,3,           -44.72140
1203,2,2014-04-29,13:41,1,320374,7460482,165,pasto,N_MATA,84,3,           -42.42640
1203,2,2014-04-29,13:57,1,320350,7460381,165,pasto,N_MATA,84,3,           -10.00000
1203,2,2014-04-29,14:12,1,320330,7460485,165,pasto,N_MATA,84,3,           -20.00000
1203,2,2014-04-29,14:27,1,320349,7460495,165,pasto,N_MATA,84,3,           -10.00000
1203,2,2014-04-29,14:42,1,320447,7460529,173,pasto,N_MATA,84,3,           -41.23110
1203,2,2014-04-29,14:57,1,320357,7460546,160,veg,MATA,84,3,            10.00000
1203,2,2014-04-29,15:12,1,320620,7460266,76,pasto,N_MATA,84,3,          -140.35700
1203,2,2014-04-29,15:27,1,320483,7460517,173,pasto,N_MATA,84,3,           -53.85160
1203,2,2014-04-29,15:42,1,320520,7460508,173,pasto,N_MATA,84,3,           -60.00000
1203,2,2014-04-29,15:57,1,320490,7460501,173,pasto,N_MATA,84,3,           -70.71070
1203,2,2014-04-29,16:12,1,320446,7460480,173,pasto,N_MATA,84,3,           -70.71070
1203,2,2014-04-29,16:27,1,320448,7460517,173,pasto,N_MATA,84,3,           -44.72140
1203,2,2014-04-29,16:42,1,320439,7460446,165,pasto,N_MATA,84,3,           -89.44270
1203,2,2014-04-29,16:57,1,320369,7460532,160,veg,MATA,84,3,            10.00000
1203,2,2014-04-30,07:03,1,320388,7460422,165,pasto,N_MATA,84,3,           -42.42640
1203,2,2014-04-30,07:18,1,320372,7460457,165,pasto,N_MATA,84,3,           -53.85160
1203,2,2014-04-30,07:33,1,320385,7460450,165,pasto,N_MATA,84,3,           -64.03120
1203,2,2014-04-30,08:18,1,320342,7460461,165,pasto,N_MATA,84,3,           -42.42640
1203,2,2014-04-30,08:28,1,320381,7460294,164,pasto,N_MATA,84,3,           -30.00000
1203,2,2014-04-30,10:03,1,320786,7460355,76,pasto,N_MATA,84,3,          -325.73000
1203,2,2014-04-30,14:55,1,320400,7460516,165,pasto,N_MATA,84,3,           -10.00000
1203,2,2014-04-30,15:25,1,320700,7460581,168,plant,N_MATA,84,3,          -110.00000
1203,2,2014-04-30,15:55,1,320507,7460482,173,pasto,N_MATA,84,3,           -90.00000
1203,2,2014-04-30,16:10,1,320344,7460498,165,pasto,N_MATA,84,3,           -10.00000
1221_2,1,2013-07-18,08:00,1,321088,7459191,338,pasto,N_MATA,69,1,           -44.72140
1221_2,1,2013-07-18,09:00,1,321163,7459030,8,veg,MATA,69,1,            10.00000
1221_2,1,2013-07-18,09:15,1,321197,7459041,8,veg,MATA,69,1,            30.00000
